type,moderation_status,status,uid,field_bury,field_theme,field_language,field_content_format,field_source,field_ocha_product,title,body,field_origin_notes,field_primary_country,field_country,field_original_publication_date,field_image,post_id,post_link,created,changed,post_type,image,categories,tags,new_url,nid
report,draft,0,2,1,4597,267,8,1503,12353,"A woman has the chance to start again after devastating floods","<p id="""">October 2020</p><p id=""""><strong>DRC.</strong><strong id=""""> </strong>In March 2020, Mathilda’s house was destroyed by heavy rains. That night, her 14-year-old son died, trapped under the rubble. The heavy rains of the first quarter of 2020 caused extensive damage in Haut-Lomami province. Houses, schools, health structures and waterworks were destroyed.  </p><p id="""">Mathilda is one of the 111,000 people affected by the floods. For several months, she had been preparing to harvest her cassava, corn, and peanut fields. And in just a few hours, all her land was filled with rainwater, her crops were destroyed, and her son was killed. </p><p id="""">Mathilda was devastated. In the rural areas of this agricultural breadbasket, people rely heavily on agriculture to survive. For Mathilda, it was one more loss to overcome. ""I was hosted by my neighbors. I had nothing left and nowhere to go with my children,"" she says.  </p><p id="""">As the weeks went by, she tried to get back on her feet, but it became increasingly difficult to feed her family. Three months after the floods, she lost another child to malaria. </p><p id=""""> In October 2020, Mathilda, along with other families, received farming tools and seeds for growing food and vegetables. The NGO VIPATU, with funding from the DRC Humanitarian Fund, also distributed cash. With the money, Mathilda was able to start building a new house for her four children. She started a business selling banana fritters. </p><p id="""">Starting from scratch was an ordeal for Mathilda. But little by little, she has regained hope and continues to fight for her children, while thinking every day of her late husband and two children who died too soon.  </p><p id="""">This project, implemented between September 2020 and December 2021, with funding from the DRC Humanitarian Fund, has enabled at least 2,184 flood-affected families to strengthen their livelihoods.  </p><p id="""">In the areas where the NGO VIPATU intervened, several people said they had started eating twice a day again, including Mathilda. ""This is the first time that some vegetables have been introduced here. I had never eaten Chinese cabbage before,"" said Mathilda, pleased with the progress of her field. In 2021, the DRC Humanitarian Fund continued to support the most vulnerable people through food security activities.   </p><p id="""">Note: The photograph does not depict the home of the person mentioned in the story.</p><p id="""">More information on the DRC Humanitarian Fund: </p><p id=""""><a href=""http://pfdata.unocha.org"">OCHA -POOLED FUNDS DATA HUB - By Country (unocha.org) </a></p><p id=""""><a href=""https://www.unocha.org/democratic-republic-congo-drc/about-drc-humanitarian-fund"">https://www.unocha.org/democratic-republic-congo-drc/about-drc-humanitarian-fund</a></p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #DR Congo, #Food Security</p>",https://pooledfunds.impact.unocha.org/?p=411,254,254,2023-03-16,1621807,411,https://pooledfunds.impact.unocha.org/?p=411,1678980457,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/62b9a22e0c23b711b352a1db_DRC_floods_general-1.jpg,"2020, CBPF, DR Congo, Food Security",,/report/woman-has-chance-start-again-after-devastating-floods-1,4117628
report,draft,0,2,1,4597,267,8,1503,12353,"Armed conflict and resilience","<p>2020</p><p id=""""><strong><em>Ukraine.</em></strong> Seventy-one-year-old Valentyna knows first-hand the effects of conflict. She was injured by an explosive in her own yard. She had to crawl away from the site of the explosion before a neighbour found her and called for an ambulance. The injury disfigured her right leg and still causes of pain. Despite this, she tries to stay strong and finds ways to cheer herself up by doing ordinary day-to-day things, like putting on makeup.</p><p id="""">Svitlana*, 55 years old, visits Valentyna twice a week to help around the house and keep her company. The programme, funded by the Ukraine Humanitarian Fund,is run by international NGO Triangle Génération Humanitaire.  Svetlana used to work at the railway station in a neighbouring town but lost her job when the conflict’s frontline moved. Finding another job in a tiny village has proved complicated, and she now volunteers with a humanitarian organization. The food vouchers she receives from volunteering are the only income she has.</p><p id="""">“I normally take care of four people and visit each of them twice a week. I help out around the house, as well as with shopping, fetching water from the well or coal for the furnace,” says Svitlana. “Valentyna calls me when she needs help. Even on my days off, I come anyway.” </p><p id="""">‍</p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Protection, #Ukraine</p>",https://pooledfunds.impact.unocha.org/?p=414,241,241,2023-03-16,1621808,414,https://pooledfunds.impact.unocha.org/?p=414,1678980458,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c6017c9e709f264e18269_hero-1-2-scaled.jpg,"2020, CBPF, Protection, Ukraine",,/report/ukraine/armed-conflict-and-resilience-0,4117629
report,draft,0,2,1,4597,267,8,1503,12353,"Blankets and home supplies for vulnerable families","<p>2020</p><p id=""""><strong><em>Taiz, Yemen</em></strong>. Ali Abdou Saeed (not pictured) and his family fled Ta’iz governorate because of fighting there. “Our homes were demolished.” </p><p id="""">He and his family are in a difficult situation. ""I could not find a daily job and life is hard. Adding to this, we are freezing when winter comes. Dignity prevents us from asking for help from other people, so we keep it to ourselves. We do not tell anyone that we are struggling.” </p><p id="""">He didn’t have enough blankets or mattresses for every child to sleep comfortably. </p><p id=""""> The Yemen General Union of Sociologists, Social Workers and Psychologists, with funding from the Yemen Humanitarian Fund, are providing assistance for Mr. Abdou Saeed, his family, and other vulnerable displaced people in Hamadan and Bani Hashish governorates.</p><p id="""">Through the project, some 31,000 people have received shelter materials, household supplies, and rental subsidies to help them live more comfortably and safely.</p><p id="""">‍</p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Shelter, #Yemen</p>",https://pooledfunds.impact.unocha.org/?p=416,255,255,2023-03-16,1621809,416,https://pooledfunds.impact.unocha.org/?p=416,1678980463,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c547df1df657a15b6cb8a_hero-1-scaled.jpg,"2020, CBPF, Shelter, Yemen",,/report/yemen/blankets-and-home-supplies-vulnerable-families-0,4117630
report,draft,0,2,1,4597,267,8,1503,12353,"Cash assistance ""gives me independence""","<p>2020</p><p id=""""><strong><em>Kreinik, West Darfur.</em></strong> Fatima Adam Muhammad was 42 years old when she fled her village in 2003 after conflict erupted across Sudan’s Darfur region.</p><p id=""""> For the past 18 years, she has been living in a displacement camp in Kreinik, West Darfur state, and is dependent on humanitarian assistance. While she says she is grateful for the help, she wished for more freedom to make choices on which items to buy. Fatima was elated when she was considered for cash assistance.</p><p id="""">“Receiving financial aid was a big leap for us in our lives. This helped me regain my dignity as a woman. Now I can go to the market and buy what I need – it gives me independence,” Fatima said.</p><p id="""">Fatima is just one of 13,300 IDPs in Kreinik IPD Camp, receiving 1,300 Sudanese pounds per month (about $23 at the UN exchange rate at the time) instead of in-kind humanitarian aid. The multi-purpose cash aid allows people to take ownership of their choices. </p><p id="""">The intervention is implemented by the World Food Programme (WFP) with financial support from the Sudan Humanitarian Fund.</p><p id="""">‍</p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Cash assistance, #Sudan</p>",https://pooledfunds.impact.unocha.org/?p=418,220,220,2023-03-16,1621810,418,https://pooledfunds.impact.unocha.org/?p=418,1678980463,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c59246f959d1ab3065d19_hero-2.jpg,"2020, CBPF, Cash assistance, Sudan",,/report/sudan/cash-assistance-gives-me-independence,4117657
report,draft,0,2,1,4597,267,8,1503,12353,"Cash assistance to start a home-based business","<p id=""""><strong><em>Rural Damascus, Syria.</em></strong> For Alia, a 42-year-old widow and mother of three, the past years have been tremendously difficult. “We were displaced and returned to our house in the East Ghouta area about two years ago,” she said, explaining that her family now lives in the one bedroom that is still intact in their damaged home in Rural Damascus.</p><p id="""">Alia also suffers from cancer,but with no one else to provide for the family, she continued to work outside the home to pay for medical treatment. “I used to leave the house for long hours to work in a sewing workshop, forcing me to leave my children alone. I was always afraid that my young girl could be exposed to some kind of harm while I was away,"" said Alia. ""My body was also becoming weak because of cancer,"" she added.</p><p id="""">As the effects of COVID-19 started to reverberate throughout the country, Alia lost her job and only source of income.</p><p id="""">Al-Tamayoz, a national NGO active in Rural Damascus since 2018, initiated its COVID-19 response project with support from the Syria Humanitarian Fund. Among a range of activities, approximately 200 of the most vulnerable women were targeted with cash assistance to alleviate the worst socio-economic impacts of the pandemic. </p><p id="""">Alia was among those who were provided with the equivalent of US $75 per month for six months. She used the cash to kickstart her own home-based clothes business and is relieved to be working from home, close to her children. ""I could never have imagined that one day I would work from home, have my own business, where now I can protect my children and address their needs,” she said.</p><p id="""">‍</p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Cash assistance, #Syria</p>",https://pooledfunds.impact.unocha.org/?p=425,254,254,2023-03-16,1621811,425,https://pooledfunds.impact.unocha.org/?p=425,1678980467,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c5ac6bcd64c993ec48ec9_hero-1.jpg,"2020, CBPF, Cash assistance, Syria",,/report/cash-assistance-start-home-based-business-0,4117658
report,draft,0,2,1,4597,267,8,1503,12353,"Making healthcare more accessible","<p>2020</p><p id=""""><strong><em>Bukavo, DRC.</em></strong> “Sometimes, you stop a bus and the driver says you can’t get on because you won’t be able to pay.” Venant often experiences this situation when he goes to his workshop. He has been repairing shoes for many years in the city of Bukavu, in eastern Democratic Republic of the Congo.</p><p id="""">A father of five , Venant works every day to support his family as a shoemaker in Bukavo. With a crutch in his hand, his days are often strewn with difficulties that are hardly visible to others. When he doesn’t earn enough to pay his return fare, he has to walk home. At his pace, every kilometre takes a long time.</p><p id="""">Beyond the daily discrimination, lack of income, problems in getting enough food and physical barriers like almost non-existent pavements, COVID-19 has highlighted the inequalities and vulnerabilities faced by people like Venant whose mobility is limited.</p><p id="""">Since the first coronavirus case was confirmed in the DRC in March 2020, some protection measures were implemented in the country. However, people with disabilities have experienced new barriers. Getting water, using sanitation facilities or obtaining public health information has become quite challenging.</p><p id="""">“I often go to the Uzima Health Centre. Every trip used to be a problem though, because there were no latrines adapted to people with disabilities,” explains Venant.</p><p id="""">In 2020 TEARFUND, with funding from the DRC Humanitarian Fund, built good quality WASH infrastructure in 12 health centers for long term use, including accessible facilities. In parallel, hygiene kits were provided to 1,200 vulnerable families, including those with disabilities.</p><p id="""">An estimated 3.8 million people with disabilities needed assistance in the DRC in 2020. More than 620,000 people with disabilities, like Venant, were helped through the humanitarian fund. While this figure is more than double the number reached in 2019, much more needs to be done to ensure more effective humanitarian support for disabled people.</p><p id=""""><br></p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #DR Congo, #Persons with Disabilities</p>",https://pooledfunds.impact.unocha.org/?p=430,254,254,2023-03-16,1621812,430,https://pooledfunds.impact.unocha.org/?p=430,1678980469,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/611cbfb4f0c7e56095a16880_123-1-scaled.jpg,"2020, CBPF, DR Congo, Persons with Disabilities",,/report/making-healthcare-more-accessible-0,4117659
report,draft,0,2,1,4597,267,8,1503,12353,"""Women and girls are overworked... and at risk""","<p>2020</p><p><strong><em>Yirol, South Sudan.</em></strong> Rebecca's husband died in communal violence. She is now raising six children in Yirol East County. She still finds time to serve her community as a matron in her church, and volunteering to support women and girls affected by gender-based violence (GBV).</p><p id="""">An increase in attacks against women and girls during communal fighting, as well as rising sexual violence in early 2020 towards displaced people and host community members in Lakes State, led Women Aid Vision (WAV) to provide safe and friendly spaces for women and girls, and individual and group psychosocial support. WAV selected Rebecca as a Community Volunteer for its GBV project. The project was funded by the South Sudan Humanitarian Fund. </p><p id="""">“Women and girls in our community are overworked. They are expected to forage for roof thatching materials in the forests, which means walking long distances, putting them at risk of sexual assault.”</p><p id="""">Rebecca also explains that women and girls are also vulnerable to sexual abuse at night — while using the toilet outside, or even while asleep in their homes when extended family visit.</p><p id=""""><br></p><figure id="""" class=""w-richtext-figure-type- w-richtext-align-fullwidth"" style=""max-width:1200px"" data-rt-type="""" data-rt-align=""fullwidth"" data-rt-max-width=""1200px""><div id=""""><img src=""https://uploads-ssl.webflow.com/60d97d538d9ed04d5841fd15/60da0e09cd9fcb19a5d91cde_1*ec6liTHZeTOswH-SCvYQJQ.jpeg"" width=""auto"" height=""auto"" loading=""auto"" id=""""></div><figcaption id="""">Rebecca, a volunteer with Women’s Aid Vision in Lakes State, explains, “Women and girls are overworked…[and] at risk of sexual assault.” Women Aid Vision provides safe and friendly spaces for women and girls affected by conflict and violence. They organize group psychosocial support sessions. Practical items — like menstrual kits and solar power torches for use at night — also make a difference. Photo: OCHA South Sudan</figcaption></figure><p id="""">In June 2020, WAV ran a comprehensive case management training on GBV, where Rebecca learnt how to conduct a safe referral and disseminate information on available services. Rebecca says, “We also learned some local risk mitigations, like collecting firewood or water in small groups and encouraging adolescent girls to either stop moving around at night or to move with their closest brothers for safety. We have encouraged community members to practice these local solutions to avoid some of the GBV risks, and this has worked very well.” Rebecca has noticed the difference in her community from simple solutions like providing women with solar-powered torches and menstrual kits.</p><p id="""">With the funding from the South Sudan Humanitarian Fund, WAV activities in Lakes State enabled 1,667 women to access GBV services and safe spaces in 2020. Training community members to deliver vital services has meant that they, in turn, have strengthened access to health, psychosocial support, legal aid and security, and safety services, as well as raising awareness through volunteer outreach and radio.</p><h2 id="""">‍</h2><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Protection, #South Sudan</p>",https://pooledfunds.impact.unocha.org/?p=431,8657,8657,2023-03-16,1621813,431,https://pooledfunds.impact.unocha.org/?p=431,1678980469,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/611cbf83b995c80fdc4dd9fd_118-1-scaled.jpg,"2020, CBPF, Protection, South Sudan",,/report/south-sudan/women-and-girls-are-overworked-and-risk,4117660
report,draft,0,2,1,4597,267,8,1503,12353,"Safe water for displaced people","<p id="""">2020</p><p id=""""><strong><em>Alteh camp, Syria. </em></strong>When Yousef first came to Alteh camp in 2019, the camp did not have essential water and sanitation facilities. </p><p id="""">Yousef was living in a small tent with his wife and three children. Residents were buying bottled water and lacked basic water and sanitation facilities. Yousef wasn’t working, so buying expensive water was a problem.</p><figure id="""" class=""w-richtext-figure-type- w-richtext-align-fullwidth"" style=""max-width:1200px"" data-rt-type="""" data-rt-align=""fullwidth"" data-rt-max-width=""1200px""><div id=""""><img src=""https://uploads-ssl.webflow.com/60d97d538d9ed04d5841fd15/60da14ef3850815d1570bdeb_1*nEC4Q05MrFYKWlEEqv8ZJA.jpeg"" width=""auto"" height=""auto"" loading=""auto"" id=""""></div><figcaption id="""">Water testing in Alteh camp. Photo: Binaa for Development</figcaption></figure><p id="""">BINAA, supported by the Syria Cross-border Humanitarian Fund, established a WASH project in the camp, providing trucking, latrines, and water tanks to ensure safe access to clean water and sanitation.</p><p id="""">Clean drinking water was provided regularly via trucking, and latrines and water tanks were set up to ensure people had safe and dignified access to sanitation.</p><p id="""">Yousef still worries that in the current situation, they need more support, especially with the COVID-19 pandemic. But he's glad to have access to safe water, and more information on the COVID-19 pandemic.</p><p id="""">“When the first Covid cases were confirmed in northwest Syria in 2020, it caused panic and a lot of fear among the camp residents, especially as there was limited protection or even clear information about the virus. But now, with the increase in daily water supplies, the hygiene kits and better information, people are less afraid.”</p><h2 id="""">‍</h2><p><em>Pooled Fund impact stories</em></p><p>#2020, #CBPF, #Syria, #Water</p>",https://pooledfunds.impact.unocha.org/?p=432,254,254,2023-03-16,1621814,432,https://pooledfunds.impact.unocha.org/?p=432,1678980470,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c86262350bcf496212e55_60da14d41c0a69c1750d74d3_SYR_Binaa-Pic-1-remini-enhanced-2-scaled.jpg,"2020, CBPF, Syria, Water",,/report/world/safe-water-displaced-people,4117687
report,draft,0,2,1,4597,267,8,1503,12353,"Accessible water and sanitation for children living in refugee camps","<p id="""">2020</p><p id=""""><strong><em>Za'atari camp, Jordan. </em></strong>Hamza is 12 years old. Since 2013, he and his family have lived in the Za’atari refugee camp. Hamza is paralyzed from the waist down, a genetic condition that his father also suffers from. “His mother and I make sure he knows that his disabilities will not prevent him from having friends, playing and living a normal life,” explains Hamza’s father, a life skills trainer.</p><p id="""">“Sometimes when I am outdoors, I come across other children who treat me nicely; some even ask if I need help pushing my wheelchair, but I usually say ‘no thanks’, because I like the exercise — and then there are the bad kids who make fun of me, but I just ignore them and go on my way,” says Hamza.</p><p id="""">Hamza’s house was fitted with an accessible bathroom, with a ramp for wheelchair access, ceramic tiles and grab bars that enable him to use it independently.</p><p id="""">“Before they renovated our bathroom, my mum would help me use the toilet, and it took me forever! It’s so much better now.” </p><p id="""">CERF funding has helped UNICEF provide accessible WASH services to over 6,000 people living with disabilities in Za’atari and Azraq camps. These people continue to benefit from private household toilets that are now connected to the water and wastewater networks in the Za’atari camp in Jordan. More than 1,600 private latrines were installed following a camp-wide needs assessment.</p><p id="""">The renovation has also helped Hamza in other ways. “Now that I’ve seen these engineers who think about people with disabilities, I’m inspired to be just like them and to build a new future — one that doesn’t discriminate based on whether or not you have a disability — because you have to think about everyone.”</p><p id=""""><br></p><p id=""""><br></p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CERF, #Jordan, #Persons with Disabilities</p>",https://pooledfunds.impact.unocha.org/?p=439,129,129,2023-03-16,1621815,439,https://pooledfunds.impact.unocha.org/?p=439,1678980479,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c8086d198e9043c02c016_d1-1-scaled.jpg,"2020, CERF, Jordan, Persons with Disabilities",,/report/jordan/accessible-water-and-sanitation-children-living-refugee-camps,4117688
report,draft,0,2,1,4597,267,8,1503,12353,"""We told people the importance of reporting symptoms""","<p>2020</p><p id=""""><strong><em>Maiduguri, Nigeria. </em></strong>Seven years ago, Hajara and her children fled their home in Konduga in northeast Nigeria. Their village was attacked by armed groups commonly known as Boko Haram and the Islamic State West Africa.</p><p id="""">Her husband was killed in the attack. She and her children now live in NYSC Camp in Maiduguri, home to about 2,000 other displaced people.</p><p id="""">Hajara joined 50 other women last year to train as WASH hygiene promotion volunteers, working to share information on COVID-19 prevention measures throughout the camp and keep the community as safe as possible. </p><p id="""">With support from the Central Emergency Response Fund, IOM delivered the training as part of a global block grant allocation to support COVID-19 community awareness projects for displaced people.</p><p id="""">“We told people about the importance of reporting symptoms and that they should adhere to the protocols; for example, sneezing into a napkin or on the elbow… If they use a napkin, we tell them they should throw it in a dustbin after use because children could pick it up and play with it,” explains Hajara. </p><p id="""">Along with the other trainees, Hajara visited households one-by-one, emphasizing the importance of washing hands properly. For their work, Hajara and her colleagues received a small stipend. Hajara plans to use it to pay her children’s school fees and to buy supplies for her knitting business.</p><p id="""">‍</p><p><em>Pooled Fund impact stories</em></p><p>#2020, #CERF, #Health, #Nigeria</p>",https://pooledfunds.impact.unocha.org/?p=440,175,175,2023-03-16,1621816,440,https://pooledfunds.impact.unocha.org/?p=440,1678980479,1691398213,post,https://pooledfunds.impact.unocha.org/wp-content/uploads/2023/06/626c7e77f813b1de506cd629_he1-1-scaled.jpg,"2020, CERF, Health, Nigeria",,/report/nigeria/we-told-people-importance-reporting-symptoms,4117689
